header:
('Sony', 'PlayStation 3 (PS3)', 'North America')
row data:
   Season  Year  Sale
0     DEC  2013   390
1     DEC  2014   170
2     DEC  2015    30
3     DEC  2016    30
4     DEC  2017     0
5     DEC  2018     0
6     DEC  2019     0
7     DEC  2020     0
8     JUN  2013   490
9     JUN  2014   160
10    JUN  2015   100
11    JUN  2016    30
12    JUN  2017    10
13    JUN  2018     0
14    JUN  2019     0
15    JUN  2020     0
16    MAR  2013   960
17    MAR  2014   870
18    MAR  2015   290
19    MAR  2016    70
20    MAR  2017    40
21    MAR  2018     0
22    MAR  2019     0
23    MAR  2020     0
24    SEP  2013   380
25    SEP  2014   120
26    SEP  2015    20
27    SEP  2016    30
28    SEP  2017     0
29    SEP  2018     0
30    SEP  2019     0
31    SEP  2020     0
insights:
{'point': [], 'shape': [], 'compound': []}
